Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,SMA_30,EMA_10,EMA_30,Daily_Return,Volatility
2023-09-26,2338.550048828125,2350.199951171875,2335.60009765625,2342.5,2342.5,5043891,2402.235009765625,2449.963338216146,2387.5376710419614,2443.089273841644,0.0008759208147555153,0.00832470651371988
2023-09-27,2343.5,2371.800048828125,2338.5,2368.89990234375,2368.89990234375,5861389,2395.239990234375,2443.0183349609374,2384.148985824105,2438.3028627772637,0.01126996898345789,0.00916301337520791
2023-09-28,2383.0,2383.0,2325.0,2334.10009765625,2334.10009765625,7259173,2383.5449951171877,2434.9833414713544,2375.0491879754036,2431.5801037371984,-0.014690280772551745,0.009396796213712654
2023-09-29,2341.800048828125,2369.10009765625,2334.10009765625,2345.0,2345.0,6171007,2372.714990234375,2428.550008138021,2369.585699252603,2425.9942905928633,0.004669852143314168,0.00972140589346853
2023-10-03,2329.949951171875,2335.60009765625,2316.0,2318.14990234375,2318.14990234375,4429528,2358.744970703125,2420.595003255208,2360.2337361782656,2419.0365881251787,-0.011449935034648195,0.00967116997758931
2023-10-04,2309.0,2319.0,2295.10009765625,2314.14990234375,2314.14990234375,5143193,2346.5149658203127,2413.733333333333,2351.8548572992627,2412.269705171538,-0.001725513952292701,0.00968936944642317
2023-10-05,2319.25,2329.39990234375,2309.0,2314.10009765625,2314.10009765625,5476841,2339.7099853515624,2406.8900065104167,2344.9903555459873,2405.936182106036,-2.1521806970903334e-05,0.00764154383139649
2023-10-06,2317.050048828125,2324.800048828125,2312.050048828125,2318.0,2318.0,2715513,2335.02998046875,2400.0833414713543,2340.0830181739893,2400.262880034679,0.0016852781552967322,0.007591867907018549
2023-10-09,2308.10009765625,2311.949951171875,2295.0,2298.25,2298.25,3788439,2329.3599853515625,2394.031673177083,2332.4770148696275,2393.6814039034093,-0.008520276100086321,0.00785218074889081
2023-10-10,2306.550048828125,2317.89990234375,2303.75,2308.39990234375,2308.39990234375,5118016,2326.15498046875,2388.7,2328.0993580467407,2388.179371544722,0.004416361293919202,0.008001467156928337
2023-10-11,2314.449951171875,2349.699951171875,2313.0,2345.050048828125,2345.050048828125,4907059,2326.4099853515627,2385.4100016276043,2331.181301825174,2385.3968345952644,0.015876861910782303,0.009692430903581632
2023-10-12,2343.85009765625,2359.35009765625,2338.14990234375,2349.39990234375,2349.39990234375,6277225,2324.4599853515624,2383.0449951171877,2334.4937746467335,2383.0744518693605,0.0018549086053829544,0.008918756422596964
2023-10-13,2340.0,2357.5,2329.14990234375,2349.300048828125,2349.300048828125,5075158,2325.97998046875,2380.7533284505207,2337.1858244978953,2380.895458124765,-4.250171097963662e-05,0.007466931887499342
2023-10-16,2345.0,2354.550048828125,2336.0,2344.050048828125,2344.050048828125,2964518,2325.8849853515626,2378.654996744792,2338.4338652852093,2378.5183349443364,-0.002234708164509991,0.007375085322920926
2023-10-17,2356.0,2359.699951171875,2341.300048828125,2355.25,2355.25,3964090,2329.5949951171874,2376.741666666667,2341.491344324262,2377.017152044702,0.00477803414542044,0.006284403479374815
2023-10-18,2355.25,2367.0,2321.0,2324.0,2324.0,4459160,2330.5800048828123,2373.851668294271,2338.311099901669,2373.5966906224635,-0.013268230548774018,0.007833544982885948
2023-10-19,2312.0,2321.800048828125,2301.0,2306.14990234375,2306.14990234375,6016278,2329.7849853515627,2369.936661783854,2332.4636094365924,2369.2452849270626,-0.007680764912327831,0.008248484893403787
2023-10-20,2300.0,2314.699951171875,2296.300048828125,2299.10009765625,2299.10009765625,4456656,2327.8949951171876,2365.616666666667,2326.3975163856207,2364.719788974107,-0.003056958561251877,0.008257118557035113
2023-10-23,2290.0,2306.25,2255.25,2263.199951171875,2263.199951171875,3926981,2324.389990234375,2359.989998372396,2314.9070499831214,2358.170122019124,-0.015614868844106566,0.009241443797181568
2023-10-25,2250.050048828125,2281.199951171875,2243.0,2257.949951171875,2257.949951171875,5810344,2319.3449951171874,2353.648331705729,2304.5512138356216,2351.7043045451082,-0.0023197243342469864,0.009004983711011634
2023-10-26,2251.0,2258.0,2220.300048828125,2226.5,2226.5,7611267,2307.489990234375,2345.3783284505207,2290.360084047327,2343.626607477682,-0.013928542196230964,0.007098497948232145
2023-10-27,2240.0,2273.5,2235.949951171875,2265.800048828125,2265.800048828125,5885542,2299.1300048828125,2339.6099934895833,2285.894623098381,2338.6055391777104,0.017651043713507786,0.00999670676769575
2023-10-30,2274.0,2325.0,2269.949951171875,2312.5,2312.5,8406652,2295.45,2334.991658528646,2290.7319643532205,2336.9213108436647,0.02061079979057645,0.012601104006502266
2023-10-31,2328.0,2328.0,2282.89990234375,2287.89990234375,2287.89990234375,6404219,2289.8349853515624,2329.4783203125,2290.2170439878623,2333.7586393275415,-0.010637880067567607,0.012930939210889978
2023-11-01,2289.14990234375,2317.5,2275.199951171875,2297.39990234375,2297.39990234375,5154595,2284.0499755859373,2324.12998046875,2291.523018234387,2331.412914360845,0.004152279560075245,0.012894091800295823
2023-11-02,2313.949951171875,2324.300048828125,2307.949951171875,2320.199951171875,2320.199951171875,5281052,2283.669970703125,2320.25498046875,2296.737006041203,2330.6894973809117,0.009924283884954033,0.012809412181525388
2023-11-03,2327.199951171875,2334.949951171875,2315.75,2319.699951171875,2319.699951171875,4425078,2285.0249755859377,2318.1733154296876,2300.9120869740523,2329.9804943996837,-0.00021549866844339238,0.012532415203614464
2023-11-06,2332.300048828125,2340.0,2325.60009765625,2339.0,2339.0,5323652,2289.0149658203127,2317.3133138020835,2307.837162069679,2330.562397986801,0.008320062609121104,0.01267346213933554
2023-11-07,2334.050048828125,2339.10009765625,2319.550048828125,2323.800048828125,2323.800048828125,3480102,2295.0749755859374,2316.2749837239585,2310.739505116669,2330.1261173959188,-0.006498482758390378,0.011561103005778213
